season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2002.0,NBA,Alton Ford,fordal02,20.0,PHO,PF,53.0,0.0,452.0,10.0,0.573,0.0,0.483,7.9,19.0,13.4,2.4,0.7,1.1,18.3,17.3,0.3,0.5,0.8,0.083,-5.6,-0.8,-6.4,-0.5
2002.0,NBA,Joseph Forte,fortejo01,20.0,BOS,SG,8.0,0.0,39.0,2.8,0.218,0.25,0.333,2.7,14.4,8.4,22.2,2.7,0.0,17.9,19.6,-0.2,0.1,-0.1,-0.144,-7.2,0.5,-6.7,0.0
2002.0,NBA,Danny Fortson,fortsda01,25.0,GSW,PF,77.0,76.0,2216.0,15.9,0.504,0.006,0.427,13.7,30.3,21.8,9.3,1.0,0.5,15.7,19.3,2.5,2.1,4.5,0.098,-0.2,-1.8,-2.0,0.0
2002.0,NBA,Greg Foster,fostegr01,33.0,MIL,PF,6.0,0.0,24.0,4.8,0.325,0.444,0.444,0.0,36.8,19.3,6.1,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-0.039,-7.7,-2.5,-10.2,-0.1
2002.0,NBA,Jeff Foster,fosteje01,25.0,IND,C,82.0,48.0,1786.0,12.9,0.493,0.038,0.462,13.3,21.6,17.6,6.1,2.1,1.5,14.3,14.0,1.5,2.7,4.2,0.113,-1.7,0.3,-1.4,0.3
2002.0,NBA,Antonis Fotsis,fotsian01,20.0,MEM,PF,28.0,1.0,320.0,11.3,0.479,0.221,0.192,8.7,12.9,10.8,5.3,1.5,2.4,15.7,19.0,-0.1,0.2,0.1,0.017,-2.0,-1.4,-3.4,-0.1
2002.0,NBA,Tremaine Fowlkes,fowlktr01,25.0,LAC,SF,22.0,17.0,343.0,9.5,0.477,0.0,0.484,10.7,10.4,10.6,7.3,1.7,0.2,14.3,11.9,0.3,0.2,0.5,0.071,-2.5,0.0,-2.5,0.0
2002.0,NBA,Rick Fox,foxri01,32.0,LAL,SF,82.0,82.0,2289.0,11.3,0.502,0.344,0.14,4.4,14.3,9.4,18.1,1.5,0.7,17.0,15.2,1.5,2.8,4.3,0.091,-1.4,0.6,-0.7,0.7
2002.0,NBA,Adonal Foyle,foylead01,26.0,GSW,C,79.0,36.0,1485.0,12.5,0.445,0.0,0.242,10.6,17.3,13.9,4.3,1.2,7.7,15.1,14.2,-0.4,1.6,1.2,0.039,-3.0,1.0,-2.1,0.0
2002.0,NBA,Steve Francis,francst01,24.0,HOU,PG,57.0,56.0,2343.0,19.1,0.517,0.209,0.419,4.9,14.8,9.8,29.1,1.6,0.7,15.6,28.0,3.2,1.2,4.4,0.091,2.5,-0.8,1.7,2.1
2002.0,NBA,Lawrence Funderburke,fundela01,31.0,SAC,PF,56.0,1.0,722.0,13.8,0.49,0.012,0.229,11.5,17.7,14.6,6.6,0.8,1.7,10.9,18.2,0.6,1.0,1.6,0.105,-1.3,-0.8,-2.1,0.0
2002.0,NBA,Kevin Garnett,garneke01,25.0,MIN,PF,81.0,81.0,3175.0,23.8,0.536,0.083,0.32,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,7.9,4.9,12.8,0.194,5.1,1.8,6.8,7.1
2002.0,NBA,Dean Garrett,garrede01,35.0,2TM,C,34.0,0.0,183.0,6.3,0.32,0.0,0.055,10.0,25.4,17.8,3.9,2.0,4.0,15.1,16.1,-0.4,0.3,-0.1,-0.024,-7.2,-0.2,-7.4,-0.3
2002.0,NBA,Dean Garrett,garrede01,35.0,MIN,C,29.0,0.0,152.0,7.1,0.339,0.0,0.075,10.0,25.5,17.9,3.7,1.7,4.4,14.5,14.4,-0.2,0.3,0.0,0.006,-6.5,0.4,-6.1,-0.2
2002.0,NBA,Dean Garrett,garrede01,35.0,GSW,C,5.0,0.0,31.0,2.0,0.267,0.0,0.0,10.1,24.9,17.3,5.1,3.3,2.2,16.7,24.4,-0.2,0.0,-0.1,-0.171,-11.1,-3.0,-14.1,-0.1
2002.0,NBA,Pat Garrity,garripa01,25.0,ORL,PF,80.0,43.0,2406.0,12.3,0.553,0.516,0.095,3.6,12.2,7.8,6.4,1.3,0.8,7.8,16.1,3.4,1.7,5.1,0.101,0.3,-0.8,-0.6,0.9
2002.0,NBA,Pau Gasol,gasolpa01,21.0,MEM,PF,82.0,79.0,3007.0,19.5,0.566,0.005,0.448,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,4.8,2.8,7.6,0.121,1.5,0.2,1.7,2.8
2002.0,NBA,Chris Gatling,gatlich01,34.0,MIA,PF,54.0,1.0,809.0,13.4,0.501,0.027,0.399,10.3,19.3,14.9,5.7,1.2,1.0,14.4,23.7,0.1,1.3,1.4,0.081,-2.5,-0.6,-3.1,-0.2
2002.0,NBA,Matt Geiger,geigema01,32.0,PHI,C,4.0,0.0,36.0,-1.6,0.169,0.0,0.25,9.6,9.4,9.5,0.0,0.0,4.2,18.4,13.8,-0.1,0.0,-0.1,-0.145,-9.1,-2.3,-11.4,-0.1
2002.0,NBA,Devean George,georgde01,24.0,LAL,SF,82.0,1.0,1759.0,12.6,0.502,0.34,0.241,4.9,14.0,9.5,9.4,2.1,1.7,10.2,16.4,1.6,2.6,4.2,0.113,-0.8,1.0,0.3,1.0
2002.0,NBA,Eddie Gill,gilled01,23.0,MEM,PG,23.0,5.0,384.0,9.2,0.531,0.239,0.424,2.0,6.1,4.1,20.6,1.5,0.5,23.7,16.9,0.0,0.1,0.1,0.011,-3.4,-1.3,-4.8,-0.3
2002.0,NBA,Kendall Gill,gillke01,33.0,MIA,SG,65.0,49.0,1410.0,7.6,0.414,0.104,0.147,2.4,12.7,7.6,12.1,1.7,0.4,10.9,17.1,-1.3,2.0,0.7,0.023,-4.8,0.9,-3.8,-0.6
2002.0,NBA,Dion Glover,glovedi01,23.0,ATL,SG,55.0,25.0,1156.0,13.1,0.491,0.2,0.226,3.5,13.2,8.3,12.8,2.0,0.9,13.2,22.6,0.0,0.9,0.9,0.037,-1.2,-0.7,-1.9,0.0
2002.0,NBA,Steve Goodrich,goodrst01,25.0,NJN,SF,9.0,0.0,50.0,-0.9,0.23,0.0,0.2,2.2,9.0,5.6,13.8,1.0,2.9,21.6,12.4,-0.1,0.1,-0.1,-0.078,-11.0,1.0,-10.0,-0.1
2002.0,NBA,Brian Grant,grantbr01,29.0,MIA,PF,72.0,72.0,2256.0,12.7,0.508,0.003,0.195,8.8,20.9,14.9,10.5,1.2,1.1,15.6,16.6,1.1,3.7,4.8,0.103,-1.9,0.7,-1.1,0.5
2002.0,NBA,Horace Grant,grantho01,36.0,ORL,C,76.0,76.0,2210.0,13.9,0.539,0.0,0.216,8.0,16.4,12.2,7.1,1.3,1.6,8.3,12.5,3.6,2.0,5.6,0.122,0.1,-0.1,0.0,1.1
