season,lg,team,abbreviation,playoffs,g,mp_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
2021.0,NBA,Oklahoma City Thunder,OKC,FALSE,72.0,241.0,43.4,91.7,0.473,13.6,37.3,0.364,29.8,54.4,0.548,15.3,19.8,0.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6
2021.0,NBA,Orlando Magic,ORL,FALSE,72.0,240.7,42.2,89.7,0.471,13.7,36.8,0.373,28.5,52.9,0.539,15.2,19.3,0.786,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.7,113.3
2021.0,NBA,Philadelphia 76ers,PHI,TRUE,72.0,242.1,39.4,86.9,0.453,11.9,33.0,0.36,27.5,53.9,0.51,17.4,22.8,0.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1
2021.0,NBA,Phoenix Suns,PHO,TRUE,72.0,242.8,40.5,86.8,0.467,11.6,32.8,0.354,28.9,54.0,0.535,16.8,21.7,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
2021.0,NBA,Portland Trail Blazers,POR,TRUE,72.0,240.3,41.8,88.3,0.473,12.9,34.6,0.372,28.9,53.6,0.538,17.9,22.8,0.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3
2021.0,NBA,Sacramento Kings,SAC,FALSE,72.0,240.3,43.6,89.4,0.488,12.4,32.6,0.38,31.2,56.8,0.549,17.8,22.7,0.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4
2021.0,NBA,San Antonio Spurs,SAS,FALSE,72.0,242.8,42.4,89.8,0.472,12.3,32.6,0.377,30.1,57.2,0.527,15.7,20.7,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
2021.0,NBA,Toronto Raptors,TOR,FALSE,72.0,240.3,39.0,84.7,0.461,13.9,36.7,0.379,25.1,48.0,0.523,19.8,24.8,0.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7
2021.0,NBA,Utah Jazz,UTA,TRUE,72.0,241.0,40.9,91.4,0.447,10.9,31.8,0.341,30.0,59.6,0.504,14.5,18.9,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2
2021.0,NBA,Washington Wizards,WAS,TRUE,72.0,241.7,43.1,91.6,0.471,12.4,33.7,0.369,30.7,57.9,0.529,19.8,25.4,0.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5
